Wall time,Step,Value
1556353397.3614306,7037,-2.9418604373931885
1556353398.2687163,7417,-3.0217392444610596
1556353410.4567635,12424,-2.7361111640930176
1556353419.5383925,16031,-2.778947353363037
1556353447.0597618,27265,-2.6700000762939453
1556353450.7177582,28712,-2.634999990463257
1556353477.0631678,39439,-2.194999933242798
1556353478.6612682,40073,-2.2699999809265137
1556353486.0587626,43058,-2.509999990463257
1556353492.5458243,45664,-2.565000057220459
1556353506.8374548,51385,-2.799999952316284
1556353507.6900117,51709,-2.755000114440918
1556353510.395637,52841,-3.130000114440918
1556353554.6485817,70753,-2.609999895095825
1556353570.865971,77412,-2.6449999809265137
1556353576.6568458,79730,-2.575000047683716
1556353602.2602704,90079,-2.2899999618530273
1556353619.6315541,97174,-2.5350000858306885
1556353622.690184,98390,-2.575000047683716
1556353645.2754574,107735,-2.565000057220459
1556353650.2802863,109752,-2.609999895095825
1556353658.5042953,113081,-2.7950000762939453
1556353677.480769,120640,-2.994999885559082
1556353679.9185712,121674,-3.2149999141693115
1556353702.1040435,130619,-2.9100000858306885
1556353707.7179437,132871,-2.684999942779541
1556353714.1023936,135424,-2.984999895095825
1556353716.587494,136424,-2.880000114440918
1556353728.1263423,141011,-3.0299999713897705
1556353772.8464813,158826,-2.7200000286102295
1556353783.685343,163157,-2.819999933242798
1556353801.0967567,170099,-2.950000047683716
1556353823.855601,179269,-2.569999933242798
1556353838.668615,185162,-2.634999990463257
1556353870.2600524,197823,-2.944999933242798
1556353901.1576586,210211,-3.174999952316284
1556353920.2607062,217900,-3.0950000286102295
1556353921.7514515,218504,-3.0399999618530273
1556353926.965207,220584,-2.9100000858306885
1556353929.165497,221483,-2.7200000286102295
1556353949.083782,229512,-2.880000114440918
1556353951.484002,230467,-2.7750000953674316
1556353969.85994,237884,-2.934999942779541
1556353983.7373104,243487,-2.755000114440918
1556354006.0531209,252567,-2.674999952316284
1556354020.328764,258340,-2.319999933242798
1556354027.6972454,261310,-2.509999990463257
1556354033.677417,263735,-2.6700000762939453
1556354055.3689947,272516,-2.630000114440918
1556354074.7548938,280380,-2.875
1556354081.930449,283262,-2.8299999237060547
1556354085.38052,284655,-2.8350000381469727
1556354092.0802405,287383,-3.0
1556354093.048072,287777,-3.0450000762939453
1556354109.95313,294598,-2.9600000381469727
1556354191.9715486,304840,-2.380000114440918
1556354246.1271195,308631,-1.1050000190734863
1556354252.42969,309074,-0.9950000047683716
1556354267.7484908,310150,-0.9350000023841858
1556354362.9122999,316512,-0.46000000834465027
1556354405.0652206,319445,-0.4650000035762787
1556354439.3835452,321873,-0.6850000023841858
1556354642.7918246,336186,-3.009999990463257
1556354788.070918,346033,-3.015000104904175
1556355042.5214555,363626,-1.7300000190734863
1556355068.0173001,365323,-2.109999895095825
1556355156.4788013,371423,-1.7000000476837158
1556355173.8016157,372635,-1.659999966621399
1556355222.9293628,376076,-1.350000023841858
1556355240.4972262,377322,-1.3300000429153442
1556355349.1029227,384827,-1.590000033378601
1556355373.76592,386540,-1.7549999952316284
1556355469.094132,393205,-1.7699999809265137
1556355561.551082,399741,-1.6349999904632568
1556355565.4701002,400012,-1.4900000095367432
1556355680.2466204,408129,-1.1649999618530273
1556355725.5351691,411312,-1.284999966621399
1556355732.735558,411817,-1.1100000143051147
1556355744.427423,412639,-0.9599999785423279
1556355809.8303592,417061,-1.315000057220459
1556355811.2061563,417154,-1.315000057220459
1556355843.9938588,419369,-1.5499999523162842
1556355862.4514887,420594,-1.399999976158142
1556355936.5417252,425599,-1.5800000429153442
1556355976.4125886,428353,-1.2599999904632568
1556355989.6051185,429272,-1.2599999904632568
1556356307.3449116,451060,-1.590000033378601
1556356448.1612322,460687,-1.7400000095367432
1556356573.0665438,469157,-1.475000023841858
1556356870.8875933,489309,-1.2799999713897705
1556357065.417921,501568,-1.7949999570846558
1556357237.7279215,512800,-1.409999966621399
1556357245.0339425,513315,-1.2999999523162842
1556357385.4982667,522366,-2.305000066757202
1556357532.737785,531678,-2.515000104904175
1556357699.3662298,542434,-2.0950000286102295
1556357731.5218825,544692,-2.3499999046325684
1556357735.124952,544947,-2.309999942779541
1556357735.9618814,545006,-2.3450000286102295
1556357874.571865,554546,-2.2049999237060547
1556358302.8979537,583503,-1.0299999713897705
1556358589.964275,602403,-2.4700000286102295
1556358636.2810276,605298,-2.299999952316284
1556358638.8411512,605476,-2.369999885559082
1556358766.5662189,614070,-1.8600000143051147
1556358905.7304192,623767,-1.840000033378601
1556358938.7273479,626109,-2.0
1556359063.5074964,634621,-2.1700000762939453
1556359106.6225436,637663,-2.494999885559082
1556359118.988846,638533,-2.5799999237060547
1556359399.1196353,658379,-1.1349999904632568
1556359459.2946606,662273,-1.6050000190734863
1556359537.3797724,667513,-0.8600000143051147
1556359670.9770591,676166,-1.7100000381469727
1556359828.229745,687257,-1.9049999713897705
1556360075.059225,704678,-1.3650000095367432
